epoch, duration, L_train, L_base, L_test, gap_train, update_baseline
0, 15.830, 6.887, 16.318, 6.907, 20.994, True
1, 15.474, 6.206, 6.889, 6.208, 9.035, True
2, 15.858, 6.048, 6.202, 6.061, 6.254, True
3, 15.906, 5.964, 6.050, 5.973, 4.782, True
4, 15.846, 5.939, 5.961, 5.959, 4.335, True
5, 15.668, 5.929, 5.936, 5.944, 4.168, True
6, 15.938, 5.924, 5.929, 5.942, 4.082, True
7, 15.917, 5.906, 5.927, 5.917, 3.755, True
8, 15.540, 5.901, 5.904, 5.915, 3.674, True
9, 15.660, 5.882, 5.901, 5.905, 3.332, True
